SecurityCode,Symbol,SecurityName,ISINNo,Sector,Industry,Exchange,Currency,GICS,Country
531335,ZYDUSWELL,ZYDUS WELLNESS LTD.-$,INE768C01010,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
532321,ZYDUSLIFE,Zydus Lifesciences Ltd,INE010B01027,Healthcare,Healthcare,NSE,INR,35,India
500780,ZUARIIND,Zuari Industries Ltd,INE217A01012,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
534742,ZUARI,ZUARI AGRO CHEMICALS LTD.,INE840M01016,Commodities,Chemicals,NSE,INR,15101010,India
543320,ZOMATO,Zomato Ltd,INE758T01015,Consumer Discretionary,Consumer Services,NSE,INR,252010,India
512587,ZODJRDMKJ,ZODIAC-JRD-MKJ LTD.,INE077B01018,Consumer Discretionary,Consumer Durables,NSE,INR,2520,India
503641,ZODIACVEN,Zodiac Ventures Limited,INE945J01027,Services,Services,NSE,INR,20201040,India
543416,ZODIAC,Zodiac Energy Ltd,INE761Y01019,Industrials,Construction,NSE,INR,20103010,India
521163,ZODIACLOTH,ZODIAC CLOTHING CO.LTD.,INE206B01013,Consumer Discretionary,Textiles,NSE,INR,25203030,India
541400,ZIMLAB,Zim Laboratories Ltd,INE518E01015,Healthcare,Healthcare,NSE,INR,35,India
533023,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd,INE342J01019,Consumer Discretionary,Automobile and Auto Components,NSE,INR,25102010,India
504067,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,INE520A01027,Information Technology,Information Technology,NSE,INR,25,India
532039,ZENOTECH,ZENOTECH LABORATORIES LTD.,INE486F01012,Healthcare,Healthcare,NSE,INR,35,India
530697,ZENLABS,Zenlabs Ethica Ltd,INE546F01013,Services,Services,NSE,INR,20201040,India
531845,ZENITHSTL,Zenith Steel Pipes & Industries Ltd-$,INE318D01020,Industrials,Capital Goods,NSE,INR,40203030,India
530665,ZENITHHE,ZENITH HEALTH CARE LTD.,INE812B01026,Healthcare,Healthcare,NSE,INR,35,India
514266,ZENIFIB,ZENITH FIBRES LTD.-$,INE106C01013,Consumer Discretionary,Textiles,NSE,INR,25203030,India
512553,ZENITHEXPO,ZENITH EXPORTS LTD.,INE058B01018,Consumer Discretionary,Consumer Durables,NSE,INR,2520,India
533339,ZENTEC,ZEN TECHNOLOGIES LTD.,INE251B01027,Industrials,Capital Goods,NSE,INR,40203030,India
532794,ZEEMEDIA,Zee Media Corporation Limited,INE966H01019,Consumer Discretionary,Media& Entertainment & Publication,NSE,INR,25401030,India
533287,ZEELEARN,ZEE LEARN LTD.,INE565L01011,Consumer Discretionary,Consumer Services,NSE,INR,252010,India
505537,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LTD.,INE256A01028,Consumer Discretionary,Media& Entertainment & Publication,NSE,INR,25401030,India
539963,ZEAL,Zeal Aqua Ltd,INE819S01025,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
505163,ZFSTEERING,Z.F.STEERING GEAR (INDIA) LTD.-$,INE116C01012,Consumer Discretionary,Automobile and Auto Components,NSE,INR,25102010,India
536846,YURANUS,Yuranus Infrastructure Ltd,INE156M01017,Industrials,Construction,NSE,INR,20103010,India
522108,YUKEN,YUKEN INDIA LTD.-$,INE384C01016,Industrials,Capital Goods,NSE,INR,40203030,India
540550,YUG,Yug Decor Ltd,INE796W01019,Commodities,Chemicals,NSE,INR,15101010,India
530675,YORKEXP,YORK EXPORTS LTD.,INE057Q01018,Consumer Discretionary,Consumer Durables,NSE,INR,2520,India
522209,YOGISUNG,YOGI SUNG-WON (INDIA) LTD.,INE429B01011,Financial Services,Financial Services,NSE,INR,15,India
511702,YOGI,YOGI Ltd,INE290E01011,Financial Services,Financial Services,NSE,INR,40201020,India
532648,YESBANK,YES BANK LTD.,INE528G01035,Financial Services,Financial Services,NSE,INR,40201020,India
530063,YASHRAJC,YASHRAJ CONTAINEURS LTD.,INE095C01018,Industrials,Capital Goods,NSE,INR,40203030,India
541167,YASHO,Yasho Industries Ltd,INE616Z01012,Commodities,Chemicals,NSE,INR,15101010,India
512345,YASTF,YASH TRADING & FINANCE LTD.,INE745A01012,Financial Services,Financial Services,NSE,INR,40201020,India
516030,YASHPAKKA,Yash Pakka Ltd-$,INE551D01018,Commodities,Forest Materials,NSE,INR,151050,India
511601,YASHMGM,YASH MANAGEMENT & SATELLITE LTD.,INE216B01012,Services,Services,NSE,INR,20201040,India
523650,YASHINNO,Yash Innoventures Ltd,INE823D01011,Services,Services,NSE,INR,20201040,India
539939,YASHCHEM,Yash Chemex Ltd,INE571U01010,Commodities,Chemicals,NSE,INR,15101010,India
514378,YARNSYN,YARN SYNDICATE LTD.,INE564C01013,Services,Services,NSE,INR,20201040,India
511012,YAMNINV,YAMINI INVESTMENTS COMPANY LTD.,INE457N01025,Financial Services,Financial Services,NSE,INR,40201020,India
533520,YAARI,Yaari Digital Integrated Services Ltd,INE126M01010,Services,Services,NSE,INR,20201040,India
538521,YAANENT,Yaan Enterprises Ltd,INE969E01010,Consumer Discretionary,Consumer Services,NSE,INR,252010,India
531225,XTGLOBAL,Xtglobal Infotech Ltd,INE547B01028,Information Technology,Information Technology,NSE,INR,45,India
590013,XPROINDIA,XPRO INDIA LTD.,INE445C01015,Industrials,Capital Goods,NSE,INR,40203030,India
542367,XELPMOC,Xelpmoc Design and Tech Ltd,INE01P501012,Information Technology,Information Technology,NSE,INR,45,India
532616,XCHANGING,XCHANGING SOLUTIONS LTD.,INE692G01013,Information Technology,Information Technology,NSE,INR,45,India
511147,WSFX,WSFx Global Pay Ltd,INE549D01012,Financial Services,Financial Services,NSE,INR,40201020,India
505872,WPIL,WPIL LTD.,INE765D01014,Industrials,Capital Goods,NSE,INR,40203030,India
538451,WORTH,Worth Investment & Trading Co Ltd,INE114O01012,Financial Services,Financial Services,NSE,INR,40201020,India
526525,WWALUM,Worldwide Aluminium Ltd,INE550D01010,Services,Services,NSE,INR,20201040,India
